遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,108000246,2019/10/14,3318750,66375,707700,01,06,07,08,09,10,12,14,15,17,20,23
雙贏彩,108000247,2019/10/15,3048550,60971,989900,02,03,04,08,09,10,12,13,14,18,19,22
雙贏彩,108000248,2019/10/16,3772600,75452,1442900,01,02,06,07,08,09,10,11,12,16,17,21
雙贏彩,108000249,2019/10/17,3065650,61313,1401400,02,03,05,07,08,12,15,17,19,20,21,23
雙贏彩,108000250,2019/10/18,3134400,62688,880100,01,02,05,06,11,12,13,14,16,19,23,24
雙贏彩,108000251,2019/10/19,3762650,75253,562500,01,03,04,05,06,09,13,14,17,21,22,24
雙贏彩,108000252,2019/10/21,3354650,67093,1011900,01,06,07,10,11,12,13,16,17,18,20,22
雙贏彩,108000253,2019/10/22,3069200,61384,613700,01,02,04,08,09,11,12,13,14,19,21,23
雙贏彩,108000254,2019/10/23,3915800,78316,911800,01,04,08,09,12,13,16,20,21,22,23,24
雙贏彩,108000255,2019/10/24,3186150,63723,2185500,02,03,04,05,06,07,10,14,15,17,18,23
雙贏彩,108000256,2019/10/25,3186650,63733,1413100,02,03,04,09,10,13,14,15,21,22,23,24
